Texto,Label,Frequencia,Relevancia_%
Natal,LOC,26,3.95
Xgboost,MISC,20,3.04
Svr,MISC,20,3.04
Cubist,LOC,16,2.43
Random Forest,MISC,11,1.67
Random Forest,ORG,8,1.22
Brasil,LOC,6,0.91
Kuhn,MISC,6,0.91
Openstreetmap,MISC,5,0.76
Cubist,PER,5,0.76
Mae Mape,LOC,5,0.76
Rio Grande Do Norte,LOC,4,0.61
Tune,LOC,4,0.61
Tune,MISC,4,0.61
S.L,MISC,4,0.61
Departamento De Estatística,ORG,4,0.61
Shiny,MISC,4,0.61
Fortaleza,LOC,4,0.61
Agradeço,PER,4,0.61
Distância,LOC,4,0.61
Importância,LOC,4,0.61
Quinlan,MISC,3,0.46
Breiman,LOC,3,0.46
R Package,MISC,3,0.46
Banheiro,LOC,3,0.46
The R Journal,MISC,3,0.46
Zap Imóveis,MISC,3,0.46
Β(T,ORG,3,0.46
Florêncio,MISC,3,0.46
Xgboost,ORG,3,0.46
João Pessoa,LOC,3,0.46
Leaflet,MISC,3,0.46
Pereira,LOC,3,0.46
Natal,MISC,3,0.46
Vaga,LOC,3,0.46
Ufrn,LOC,3,0.46
Universidade Federal Do Rio Grande Do Norte,LOC,3,0.46
Variável,MISC,2,0.3
Veloso,MISC,2,0.3
Tabela 2,MISC,2,0.3
Tabela 1,MISC,2,0.3
São Paulo,LOC,2,0.3
Basak,PER,2,0.3
Boxplots,LOC,2,0.3
Área,ORG,2,0.3
Tsuda,LOC,2,0.3
Attali,LOC,2,0.3
Oliveira,ORG,2,0.3
R Core Team,MISC,2,0.3
Plano Diretor Do Município Do Natal,MISC,2,0.3
Prof,PER,2,0.3
Receita,ORG,2,0.3
Rbf,MISC,2,0.3
Bandeira,ORG,2,0.3
Raíz Do Erro Quadrático Médio,MISC,2,0.3
Referencial Teórico,MISC,2,0.3
B. M.; Boehmke,PER,2,0.3
B. C. Variable,PER,2,0.3
Sinduscon,LOC,2,0.3
Apêndice C -- Código R,MISC,2,0.3
Apêndice B -- Código R,MISC,2,0.3
Sebrae,ORG,2,0.3
Sebrae-Rn,PER,2,0.3
Tabela 3,MISC,2,0.3
Tabela 7,MISC,2,0.3
Boehmke,LOC,2,0.3
Marcus Nunes,PER,2,0.3
Bussab,PER,2,0.3
Marcelo Bourguignon,PER,2,0.3
Makson Pedro,PER,2,0.3
Makson,PER,2,0.3
Davidson,PER,2,0.3
Objetivos,MISC,2,0.3
Objetivo Geral,MISC,2,0.3
C(0,LOC,2,0.3
Considerações Finais,MISC,2,0.3
Organização,ORG,2,0.3
Patranabis,ORG,2,0.3
Pebesma,ORG,2,0.3
Knn,MISC,2,0.3
Coeficiente De Determinação,MISC,2,0.3
Chen,ORG,2,0.3
Do Rio Grande Do Norte,MISC,2,0.3
Disponível,MISC,2,0.3
Divisão,ORG,2,0.3
K-Folds,MISC,2,0.3
L(Y,ORG,2,0.3
Janela,PER,2,0.3
Código R,MISC,2,0.3
Johnson,PER,2,0.3
Izbicki,PER,2,0.3
Eqm(J,MISC,2,0.3
Erro Percentual Absoluto Médio,MISC,2,0.3
Drucker,ORG,2,0.3
Eqm,MISC,2,0.3
Greenwell,LOC,2,0.3
Granjon,LOC,2,0.3
Iptu,LOC,2,0.3
Inc,ORG,2,0.3
K(Xi,MISC,2,0.3
Hiperparâmetros,MISC,2,0.3
Greenwell,ORG,2,0.3
Grids,MISC,2,0.3
Estatística,LOC,2,0.3
Ferreira,LOC,2,0.3
Guestrin,ORG,2,0.3
An Introduction To The Vip Package,MISC,2,0.3
Aplicação Shiny,MISC,2,0.3
Wickham,MISC,2,0.3
Xgboost,LOC,2,0.3
−X′∥2,ORG,2,0.3
Abreu,ORG,1,0.15
"2,043 Distância",LOC,1,0.15
A. A. Avaliação,PER,1,0.15
A. A. F. D,PER,1,0.15
Abnt,ORG,1,0.15
Xgb_Tuned <- Tune_Grid,MISC,1,0.15
Apêndice D. 35 4 Resultados 4.1,MISC,1,0.15
Araújo Florêncio,PER,1,0.15
Arg Min J,PER,1,0.15
Artificial Intelligence,MISC,1,0.15
Associação Brasileira De Normas Técnicas,ORG,1,0.15
Austria,LOC,1,0.15
Avaliação De Bens,MISC,1,0.15
B B X,MISC,1,0.15
B. A,PER,1,0.15
Vagas,LOC,1,0.15
Variável Valor,MISC,1,0.15
Ufc,LOC,1,0.15
Under The Open Database License,MISC,1,0.15
Universidade De São Paulo,LOC,1,0.15
Universidade Federal Da Paraíba,LOC,1,0.15
Universidade Federal De Pernambuco,LOC,1,0.15
Estatístico,MISC,1,0.15
