Texto,Label,Frequencia,Relevancia_%
Natal,LOC,27,3.86
Svr,MISC,20,2.86
Xgboost,MISC,19,2.71
Cubist,LOC,15,2.14
Random Forest,MISC,9,1.29
Random Forest,ORG,8,1.14
Brasil,LOC,6,0.86
Kuhn,MISC,6,0.86
Cubist,PER,6,0.86
Openstreetmap,MISC,5,0.71
Mae Mape,LOC,5,0.71
I=1,LOC,4,0.57
S.L,MISC,4,0.57
Shiny,MISC,4,0.57
Universidade Federal Do Rio Grande Do Norte,LOC,4,0.57
Tune,LOC,4,0.57
Fortaleza,LOC,4,0.57
Agradeço,PER,4,0.57
Departamento De Estatística,ORG,4,0.57
Zap Imóveis,MISC,4,0.57
Makson Pedro Rodrigues,PER,3,0.43
Breiman,LOC,3,0.43
João Pessoa,LOC,3,0.43
Leaflet,MISC,3,0.43
Tabela 7,MISC,3,0.43
The R Journal,MISC,3,0.43
Ufrn,LOC,3,0.43
Random Forest,LOC,3,0.43
Distância,LOC,3,0.43
Do Rio Grande Do Norte,MISC,3,0.43
Xgboost,ORG,3,0.43
Β(T,ORG,3,0.43
Florêncio,MISC,3,0.43
Hiperparâmetro,LOC,3,0.43
Dr. Marcelo Bourguignon Pereira,PER,3,0.43
Importância,LOC,3,0.43
R Package,MISC,3,0.43
Banheiro,LOC,3,0.43
São Paulo,LOC,2,0.29
Tsuda,LOC,2,0.29
Área,ORG,2,0.29
V U U,PER,2,0.29
Vaga,LOC,2,0.29
Sebrae-Rn,PER,2,0.29
Sebrae,ORG,2,0.29
Tabela 2,MISC,2,0.29
Variável,MISC,2,0.29
Wickham,MISC,2,0.29
Análise Exploratória De Dados,MISC,2,0.29
An Introduction To The Vip Package,MISC,2,0.29
Aplicação Shiny,MISC,2,0.29
Attali,LOC,2,0.29
Objetivos,MISC,2,0.29
Objetivo Geral,MISC,2,0.29
Nfolha,LOC,2,0.29
Natal-Rn,LOC,2,0.29
Prof,PER,2,0.29
Plano Diretor Do Município Do Natal,MISC,2,0.29
Pereira,LOC,2,0.29
Pebesma,ORG,2,0.29
Patranabis,ORG,2,0.29
Bandeira,ORG,2,0.29
B. M.; Boehmke,PER,2,0.29
B. C. Variable,PER,2,0.29
R Core Team,MISC,2,0.29
Ccet,LOC,2,0.29
Referencial Teórico,MISC,2,0.29
Quinlan,MISC,2,0.29
Apêndice B -- Código R,MISC,2,0.29
Boehmke,LOC,2,0.29
Receita,ORG,2,0.29
Rbf,MISC,2,0.29
Apêndice C -- Código R,MISC,2,0.29
Apêndice D -- Código R,MISC,2,0.29
Sinduscon,LOC,2,0.29
Rio Grande Do Norte,LOC,2,0.29
Marcelo Bourguignon,PER,2,0.29
Natal,MISC,2,0.29
Bussab,PER,2,0.29
Organização,ORG,2,0.29
Oliveira,ORG,2,0.29
C(0,LOC,2,0.29
Objetivos Específicos,MISC,2,0.29
Committees,LOC,2,0.29
Johnson,PER,2,0.29
Janela,PER,2,0.29
Izbicki,PER,2,0.29
L(Y,ORG,2,0.29
K-Folds,MISC,2,0.29
Knn,MISC,2,0.29
Machine,ORG,2,0.29
K(Xi,MISC,2,0.29
Davidson,PER,2,0.29
Disponível,MISC,2,0.29
Liários,LOC,2,0.29
Chen,ORG,2,0.29
Médio,LOC,2,0.29
Mtry,LOC,2,0.29
Código R,MISC,2,0.29
Drucker,ORG,2,0.29
Ferreira,LOC,2,0.29
Hiperparâmetros,MISC,2,0.29
Guestrin,ORG,2,0.29
Grids De Procura,MISC,2,0.29
Greenwell,LOC,2,0.29
Greenwell,ORG,2,0.29
Iptu,LOC,2,0.29
Inc,ORG,2,0.29
Xgboost,LOC,2,0.29
Eqm,MISC,2,0.29
Estatística,LOC,2,0.29
Divisão,ORG,2,0.29
Xij,MISC,2,0.29
3.2 Limpeza,MISC,2,0.29
−X′∥2,ORG,2,0.29
Abnt,ORG,2,0.29
Veloso,MISC,1,0.14
Xir,MISC,1,0.14
11 Histograma,MISC,1,0.14
12 Comparação Das Densidades Dos Valores Observados E Valores Preditos,MISC,1,0.14
14 Importância,LOC,1,0.14
16 Formulário,MISC,1,0.14
2 Representação,MISC,1,0.14
3 Metodologia,MISC,1,0.14
Universidade Federal,LOC,1,0.14
Universidade Federal Da Paraíba,LOC,1,0.14
Universidade Federal De Pernambuco,LOC,1,0.14
Universidade Federal Do Ceará,LOC,1,0.14
Universidade Federal Do Rio Grande Do Norte Centro De Ciências Exatas,LOC,1,0.14
Usa,MISC,1,0.14
Araújo Florêncio,PER,1,0.14
Areai,LOC,1,0.14
Arg Min J,PER,1,0.14
Artificial Intelligence,MISC,1,0.14
Associação Brasileira De Normas Técnicas,ORG,1,0.14
7 Boxplots,MISC,1,0.14
Zada,LOC,1,0.14
Zap Imóveis,LOC,1,0.14
Zilli,MISC,1,0.14
Zilli,ORG,1,0.14
Dom Forest,LOC,1,0.14
Dr. Eliardo Guimarães Da Costa,PER,1,0.14
Dr. Lutemberg,PER,1,0.14
Forest,LOC,1,0.14
G. D. J,PER,1,0.14
Gamlss,MISC,1,0.14
Generalized Additive Models For Location,MISC,1,0.14
Graduação Em,MISC,1,0.14
Ende-,LOC,1,0.14
Engenharia,MISC,1,0.14
Eqm(J,MISC,1,0.14
Erro,MISC,1,0.14
Erro Percentual Absoluto,MISC,1,0.14
