Texto,Label,Frequencia,Relevancia_%
Natal,LOC,26,3.67
Svr,MISC,20,2.82
Xgboost,MISC,20,2.82
Rmse,ORG,18,2.54
Cubist,LOC,16,2.26
Random Forest,MISC,10,1.41
Random Forest,ORG,8,1.13
Mae,LOC,7,0.99
Valor,PER,7,0.99
Brasil,LOC,6,0.85
Kuhn,MISC,6,0.85
Openstreetmap,MISC,5,0.71
Mape,ORG,5,0.71
"Mae
Mape",LOC,5,0.71
Cubist,PER,5,0.71
Fortaleza,LOC,4,0.56
Distância,LOC,4,0.56
Mae,PER,4,0.56
S.L,MISC,4,0.56
Agradeço,PER,4,0.56
Departamento De Estatística,ORG,4,0.56
Importância,LOC,4,0.56
Shiny,MISC,4,0.56
Tune,LOC,4,0.56
Tune,MISC,4,0.56
Rsq,ORG,4,0.56
Leaflet,MISC,3,0.42
Β(T,ORG,3,0.42
Resultados,MISC,3,0.42
Breiman,LOC,3,0.42
The R Journal,MISC,3,0.42
Vaga,LOC,3,0.42
Ufrn,LOC,3,0.42
Banheiro,LOC,3,0.42
Xgboost,ORG,3,0.42
R Package,MISC,3,0.42
Natal,MISC,3,0.42
Pereira,LOC,3,0.42
Quinlan,MISC,3,0.42
João Pessoa,LOC,3,0.42
Florêncio,MISC,3,0.42
Zap Imóveis,MISC,3,0.42
Bussab,PER,2,0.28
Boxplots,LOC,2,0.28
Prof,PER,2,0.28
Boehmke,LOC,2,0.28
Rbf,MISC,2,0.28
Receita,ORG,2,0.28
Referencial Teórico,MISC,2,0.28
Rio Grande Do Norte,LOC,2,0.28
Tsuda,LOC,2,0.28
Sebrae,ORG,2,0.28
Sebrae-Rn,PER,2,0.28
C(0,LOC,2,0.28
Attali,LOC,2,0.28
B. C. Variable,PER,2,0.28
B. M.; Boehmke,PER,2,0.28
Sinduscon,LOC,2,0.28
Variável,MISC,2,0.28
Veloso,MISC,2,0.28
−X′∥2,ORG,2,0.28
"An Introduction
To The Vip Package",MISC,2,0.28
Aplicação Shiny,MISC,2,0.28
Apêndice B -- Código R,MISC,2,0.28
Bandeira,ORG,2,0.28
Basak,PER,2,0.28
Objetivos,MISC,2,0.28
Objetivo Geral,MISC,2,0.28
Chen,ORG,2,0.28
Davidson,PER,2,0.28
Oliveira,ORG,2,0.28
Organização,ORG,2,0.28
Patranabis,ORG,2,0.28
R Core Team,MISC,2,0.28
Considerações Finais,MISC,2,0.28
K(Xi,MISC,2,0.28
Janela,PER,2,0.28
Johnson,PER,2,0.28
L(Y,ORG,2,0.28
Makson,PER,2,0.28
Makson Pedro,PER,2,0.28
Knn,MISC,2,0.28
Pebesma,ORG,2,0.28
Grids,MISC,2,0.28
Greenwell,ORG,2,0.28
Código R,MISC,2,0.28
Inc,ORG,2,0.28
Iptu,LOC,2,0.28
Izbicki,PER,2,0.28
K-Folds,MISC,2,0.28
Do Rio Grande Do Norte,MISC,2,0.28
Divisão,ORG,2,0.28
Disponível,MISC,2,0.28
Estatística,LOC,2,0.28
Guestrin,ORG,2,0.28
Hiperparâmetros,MISC,2,0.28
Ferreira,LOC,2,0.28
Granjon,LOC,2,0.28
Eqm(J,MISC,2,0.28
Eqm,MISC,2,0.28
Drucker,ORG,2,0.28
Greenwell,LOC,2,0.28
Área,ORG,2,0.28
Apêndice C -- Código R,MISC,2,0.28
Xgboost,LOC,2,0.28
Wickham,MISC,2,0.28
"2,043
Distância",LOC,1,0.14
Abnt,ORG,1,0.14
Abnt Nbr,MISC,1,0.14
Abreu,ORG,1,0.14
Ufc,LOC,1,0.14
Under The Open Database License,MISC,1,0.14
Universidade De São Paulo,LOC,1,0.14
Universidade Federal Da Paraíba,LOC,1,0.14
"Universidade Federal De
Pernambuco",LOC,1,0.14
Universidade Federal Do Ceará,LOC,1,0.14
"Universidade Federal Do Rio 
Grande Do Norte",LOC,1,0.14
Banca,ORG,1,0.14
Banco,ORG,1,0.14
Bastos E Silva,PER,1,0.14
Vagas,LOC,1,0.14
Variável Valor,MISC,1,0.14
Vert,MISC,1,0.14
Vert,PER,1,0.14
Vienna,LOC,1,0.14
W. D. O. Estatística Básica,PER,1,0.14
Figuras 13,MISC,1,0.14
G. D. J.,PER,1,0.14
Gamlss,MISC,1,0.14
Generalized Additive Models For Location,MISC,1,0.14
Graduação Em Estatística,MISC,1,0.14
Edilo Gomes Rodrigues,PER,1,0.14
"Editora
Saraiva",PER,1,0.14
Eliardo,PER,1,0.14
Ende-,LOC,1,0.14
"Engenharia
De Avaliações",ORG,1,0.14
"Erro
Absoluto Médio",MISC,1,0.14
"Erro Percentual Absoluto
Médio",MISC,1,0.14
Apêndice B.,MISC,1,0.14
Apêndice C.,MISC,1,0.14
Apêndice D -- Código R,MISC,1,0.14
"Apêndice D.
35
4
Resultados
4.1",MISC,1,0.14
Dissertação,MISC,1,0.14
Dissertação De Mestrado,MISC,1,0.14
Dissertação De Mestrado Em Estatística,MISC,1,0.14
Doi,MISC,1,0.14
Https://Doi.Org/10.32614/Rj-2020-013,LOC,1,0.14
Https://Github.Com/Cowvin0/Tcc_Realestate/Tree/Main/App,MISC,1,0.14
Https://Www.Researchgate.Net/Publication/389486533,LOC,1,0.14
I(X ∈Rjm,LOC,1,0.14
I(Xi,LOC,1,0.14
I. Pereira,PER,1,0.14
Estephany Duarte,PER,1,0.14
Exp,MISC,1,0.14
F.: Il,PER,1,0.14
False,MISC,1,0.14
Ferreira,ORG,1,0.14
Fi-,ORG,1,0.14
Iraci De Fátima Bonfim,PER,1,0.14
Izbicki,ORG,1,0.14
J. Y. Housing Price,PER,1,0.14
Grid_Max_Entropy,PER,1,0.14
H. Tidymodels,PER,1,0.14
Hiperparâmetro,LOC,1,0.14
Html,MISC,1,0.14
"Https://Cran.R-Project.Org/Pac
Kage=Shinyjs",LOC,1,0.14
Https://Cran.R-Project.Org/Package=Shinydashboard,ORG,1,0.14
Erro Percentual Absoluto Médio,MISC,1,0.14
Erro Quadrático Médio,LOC,1,0.14
Escala E Forma,MISC,1,0.14
Estado Do,LOC,1,0.14
Estatístico,MISC,1,0.14
"Departamento De Estatística Do Centro De
Ciências Exatas",ORG,1,0.14
Dissertacao_Luizatulerveloso_Final.Pdf,MISC,1,0.14
Css,MISC,1,0.14
"Curso De
Bacharelado Em Estatística",MISC,1,0.14
K-Fold,ORG,1,0.14
K. Applied Predictive Modeling,PER,1,0.14
Kernel Methods In Computational Biology,MISC,1,0.14
Kernel Rbf,MISC,1,0.14
Kernlab,MISC,1,0.14
In The State Of Rio Grande Do Norte,MISC,1,0.14
In This Scenario,MISC,1,0.14
"In: Advances In Neural
Information Processing Systems",MISC,1,0.14
"In: Proceedings Of The 5Th Australian
Joint Conference On Artificial Intelligence",MISC,1,0.14
Iniciação Científica,MISC,1,0.14
Inteligência Artificial,MISC,1,0.14
Inteligência Artificial - Monografia,MISC,1,0.14
Iptu,PER,1,0.14
Iqr,MISC,1,0.14
Javascript,MISC,1,0.14
"Jm
X",MISC,1,0.14
Joseneide Ferreira Dantas - Crb-15/324,PER,1,0.14
Jun,MISC,1,0.14
J∈Nk(Xi,LOC,1,0.14
K(X,PER,1,0.14
Dom Forest,LOC,1,0.14
Dr. Eliardo Guimarães Da Costa,PER,1,0.14
Dr. Lutemberg,PER,1,0.14
Dr. Marcelo Bourguignon Pereira,PER,1,0.14
"Dr. Marcelo Bourguignon Pereira
Universidade Federal Do Rio Grande Do Norte",PER,1,0.14
Dr. Pedro Rafael Diniz Marinho,PER,1,0.14
"Committees
Neighbors",MISC,1,0.14
Complementar,ORG,1,0.14
Computer Science,MISC,1,0.14
Correlograma,PER,1,0.14
Makson Pedro Rodrigues,PER,1,0.14
"Marcelo
Bourguignon",PER,1,0.14
Marcelo Bourguignon,PER,1,0.14
"Marcelo Bourguignon Pereira  
Orientador  
Departamento De Estatística",PER,1,0.14
Keywords: Machine Learning,MISC,1,0.14
Kuhn,PER,1,0.14
L. C.; Silva,PER,1,0.14
L. De A. Engenharia De Avaliações Com Base Em Modelos Gamlss,PER,1,0.14
L. R.,PER,1,0.14
L. Random Forests,MISC,1,0.14
L. T.,PER,1,0.14
Lagrange,PER,1,0.14
"Leaflet’
Library",MISC,1,0.14
Lei Complementar,MISC,1,0.14
Li ≤Xi,MISC,1,0.14
"Lista De Tabelas
1",MISC,1,0.14
Mediana,MISC,1,0.14
